Step Volume
5000 282723.63538551615784
10000 557884.65089974505827
15000 1198103.0943704782985
20000 2485851.69278127281
25000 5309289.8691021231934
30000 11131494.330109559
35000 22591095.522433649749
40000 43571117.114033564925
45000 77495383.479599863291
50000 121712726.19842779636
55000 162153569.19488090277
60000 182555291.15590617061
65000 184336218.33870404959
70000 182365902.83732146025
75000 184305381.07044032216
80000 180763591.03209486604
85000 185271535.34601449966
90000 179073670.02907720208
95000 185745720.61574807763
100000 178262550.8842779696
105000 185119217.04546302557
110000 179310294.18436223269
115000 182731964.8455234766
120000 181580110.5492092669
125000 179790182.74341002107
130000 184151197.75829851627
135000 177193678.01596102118
140000 185942727.73844125867
145000 176126252.2818761766
150000 185948412.1901127696
155000 176503839.1623929143
160000 184533377.9259249568
165000 178255958.11969703436
170000 182465409.78199383616
175000 180189503.28362756968
180000 180736862.13094601035
185000 181438354.49329158664
190000 179969216.44087252021
195000 181653698.80592176318
200000 180095811.2297565341
205000 181421001.81318306923
210000 180444889.84636288881
215000 181031642.55327191949
220000 180709702.89212805033
225000 180852494.41515186429
230000 180793122.24864444137
235000 180809483.79025292397
240000 180824212.52697104216
245000 180812317.81395217776
250000 180803910.35266107321
255000 180811060.80485060811
260000 180813984.93302503228
265000 180801535.82870018482
270000 180797713.53880786896
275000 180805971.1087308228
280000 180812561.30654245615
285000 180811077.29881522059
290000 180787231.80299502611
295000 180821154.13785547018
300000 180814351.02753666043
305000 180797024.37656700611
310000 180798791.05401009321
315000 180784264.9974552989
320000 180794343.96486753225
325000 180818614.7593742013
330000 180813438.4352761209
335000 180797735.64641341567
340000 180807760.0441057682
345000 180808395.96352276206
350000 180807881.81179916859
355000 180779696.97248414159
360000 180794444.4932654798
365000 180812353.10269603133
370000 180770344.59145566821
375000 180803665.62349486351
380000 180785349.65611985326
385000 180772344.07836383581
390000 180791149.61220785975
395000 180806511.02913150191
400000 180799510.55307248235
405000 180783111.90228408575
410000 180800692.27075600624
415000 180799873.27957004309
420000 180787183.5460357368
425000 180780505.54415944219
430000 180803578.71492266655
435000 180797360.52791723609
440000 180778205.88117134571
445000 180786359.44388148189
450000 180769025.58598256111
455000 180790605.2562725842
460000 180805840.50532308221
465000 180773464.63037624955
470000 180786276.80480271578
475000 180804949.05702313781
480000 180793604.45723205805
485000 180782963.45336511731
490000 180822450.31379762292
495000 180809846.7320509851
500000 180780828.35091853142
505000 180773995.54667943716
510000 180793308.95211574435
515000 180812718.25988188386
520000 180782721.60761749744
525000 180821653.80428615212
530000 180809907.7209546268
535000 180817535.84432300925
540000 180785396.79656723142
545000 180800588.14439722896
550000 180812133.50464883447
555000 180775500.7292933166
560000 180823563.92471498251
565000 180780991.01381391287
570000 180800005.03908067942
575000 180776127.59463486075
580000 180797918.09971579909
585000 180798025.51599040627
590000 180794382.29914709926
595000 180805961.64456227422
600000 180781470.71690899134
605000 180777672.53514182568
610000 180770751.56083554029
615000 180817814.97161525488
620000 180806047.91875487566
625000 180794397.25222367048
630000 180803969.93068495393
635000 180781960.33010989428
640000 180781535.66500946879
645000 180797166.2036768198
650000 180787760.54851967096
655000 180792081.35511556268
660000 180797406.63166031241
665000 180800455.95539003611
670000 180799217.87686401606
675000 180786811.2304648757
680000 180799405.68091270328
685000 180801928.37743890285
690000 180779963.36023101211
695000 180794903.11533117294
700000 180824013.45915660262
705000 180791066.24120870233
