Step Total_MSD
5000 657.66049256955636793
10000 6482.7525095489900195
15000 24496.60357201401348
20000 63830.558883448655251
25000 143645.55783198468271
30000 290772.24260321701877
35000 542879.71988698688801
40000 942492.23742805980146
45000 1510952.2372734905221
50000 2192434.7039248012006
55000 2821472.9171560946852
60000 3227374.4887994802557
65000 3424735.1429770514369
70000 3580581.8075886596926
75000 3792018.818812997546
80000 3932058.1778670987114
85000 4193701.3143946123309
90000 4296453.4797312356532
95000 4609489.9677685098723
100000 4689913.2343758707866
105000 5026253.1087914891541
110000 5135191.8415492204949
115000 5425328.4424165859818
120000 5628224.1922884006053
125000 5823348.6180978054181
130000 6154717.5971814775839
135000 6237656.9149807831272
140000 6690654.3264086926356
145000 6699599.2293864395469
150000 7206259.3255124725401
155000 7215540.4503914052621
160000 7701709.7016603788361
165000 7791861.7087163208053
170000 8190861.1899200053886
175000 8399659.5920039247721
180000 8701022.1587362382561
185000 9011580.7965103983879
190000 9255416.3550475053489
195000 9611237.6105929668993
200000 9857948.8995311297476
205000 10213876.598726920784
210000 10488520.553007502109
215000 10827980.014163484797
220000 11136136.298458456993
225000 11467956.6651815027
230000 11795987.415753440931
235000 12131996.981486603618
240000 12472671.88263922371
245000 12816840.284311821684
250000 13165852.84011888504
255000 13520336.320142373443
260000 13879333.534954054281
265000 14242232.325085226446
270000 14610276.26294734329
275000 14983681.407210441306
280000 15361731.103408345953
285000 15744038.782638847828
290000 16129717.060449838638
295000 16523562.821219807491
300000 16919671.319658622146
305000 17319799.51520331949
310000 17725834.900515239686
315000 18135498.179974354804
320000 18551502.402632802725
325000 18973247.67317789048
330000 19397667.439331885427
335000 19826009.339215170592
340000 20260939.071501679718
345000 20699884.595304388553
350000 21143462.642132118344
355000 21589512.79032324627
360000 22043705.662103816867
365000 22502912.358891606331
370000 22961819.290191352367
375000 23431808.699186485261
380000 23902060.15106786415
385000 24377439.483692914248
390000 24860404.63532306999
395000 25347812.170470118523
400000 25837867.369766592979
405000 26331681.039163298905
410000 26833521.163492016494
415000 27338263.199658807367
420000 27846502.739256307483
425000 28360029.485457986593
430000 28881407.198711007833
435000 29404413.156769365072
440000 29930663.928720809519
445000 30464627.163536567241
450000 31000410.227393582463
455000 31545368.53622424975
460000 32094359.433326676488
465000 32642413.603307131678
470000 33200555.542139675468
475000 33764194.330664254725
480000 34328818.451599627733
485000 34898198.589340664446
490000 35478812.336739063263
495000 36057366.291779309511
500000 36638354.986307062209
505000 37226976.62266690284
510000 37823926.396733142436
515000 38425680.618808172643
520000 39025118.681497424841
525000 39639214.413293525577
530000 40250671.341082632542
535000 40869713.367093317211
540000 41487394.646324031055
545000 42117005.026115559042
550000 42750802.041578322649
555000 43381659.697153605521
560000 44030815.153758242726
565000 44669965.722834438086
570000 45323923.519310332835
575000 45975414.953779399395
580000 46639347.845538809896
585000 47304315.517883881927
590000 47973334.220135882497
595000 48649756.743918836117
600000 49324407.479282736778
605000 50007441.530545987189
610000 50694592.695981912315
615000 51396654.519428290427
620000 52092358.03036352247
625000 52792741.035008944571
630000 53501950.620705157518
635000 54209604.126479558647
640000 54926230.208510294557
645000 55650848.971928536892
650000 56375070.551437459886
655000 57106833.932890281081
660000 57843530.809001199901
665000 58584487.058859445155
670000 59329235.340972393751
675000 60076198.75312153995
680000 60833422.518733389676
685000 61593132.270449981093
690000 62351949.547665685415
695000 63123917.413882419467
700000 63904044.469871520996
705000 64674236.668308459222
710000 65454158.512387491763
715000 66247384.704132474959
720000 67042714.801514446735
725000 67838573.798212751746
730000 68633959.67959189415
735000 69438919.456393629313
740000 70251777.321469604969
745000 71072232.394603222609
750000 71890164.244875490665
755000 72715003.344682663679
760000 73543827.740038782358
765000 74375395.739317312837
770000 75218347.854175999761
775000 76062162.712348848581
780000 76903088.750620529056
785000 77769640.065656095743
790000 78623503.261626943946
795000 79484775.267581582069
800000 80350619.427752688527
805000 81221128.180711477995
810000 82100334.901351869106
815000 82984853.540685936809
820000 83870627.693936258554
825000 84759831.640127241611
