Step Avg_Vx Avg_Vy Avg_Vz
5000 -0.0079036474632400901402 -8.6697103792927201842e-05 6.653432957682340308e-05
10000 -0.0090420800663989497892 -3.8802551290482196632e-05 -1.6547269884396399107e-05
15000 -0.009298886381207429469 -4.1133467401794901388e-05 -2.5624650653341999814e-05
20000 -0.0092977074040813904171 -1.8240676791625598941e-05 -3.4912843582667702977e-05
25000 -0.0094193218819486595333 -3.344856288708670226e-05 -2.4979481096925900514e-05
30000 -0.0095119025325328000059 -2.9764846440371300212e-05 -2.6377972469638600678e-05
35000 -0.0095251945560854405642 -3.2867610448353001818e-05 -2.5481180652810401089e-05
40000 -0.0095472185668047607893 -2.9076254267000901233e-05 -2.05340490704634013e-05
45000 -0.0095742538708750192511 -2.2602355061339800968e-05 -1.5334642195401100979e-05
50000 -0.009613409465402870599 -1.6568755859749198679e-05 -1.3683789620122899613e-05
55000 -0.0096345698050331104317 -5.9578879216751401814e-06 -1.0943562222888099749e-05
60000 -0.0096394276465920497587 -4.5819380187136097695e-06 -5.1551012030742900976e-06
65000 -0.0096425371381454894754 -7.2626253686671996435e-06 5.9898505743736301399e-06
70000 -0.0096506187242691703759 -5.0369140354870797207e-06 -3.2441909866504199951e-06
75000 -0.0096492146418938103819 -4.0367020075948704017e-06 -3.3782557610758300412e-06
80000 -0.0096466225441803905155 9.8902514950627608078e-07 -1.3382938053021400802e-06
85000 -0.0096538473525336898629 -5.097001465788220261e-06 -3.6772973888981198148e-06
90000 -0.009645448054639989624 2.5288130807148998835e-06 -1.6417420690708099659e-06
95000 -0.0096491340049765297882 -6.585256655182049691e-06 -5.7300247810599997764e-06
100000 -0.0096504367976987300709 -3.8255675949976898577e-06 2.8500953671189901956e-06
105000 -0.0096493450390023900037 -1.0354725437650899917e-05 -5.6012981787841602439e-06
110000 -0.0096524058655980803784 -3.6738603376817701506e-06 9.6724973514531392894e-07
115000 -0.0096533949766215900595 -1.1419767115564800459e-06 -1.5064036238153199942e-05
120000 -0.0096594767146543896591 5.3324299864159500412e-06 4.547698617410100376e-06
125000 -0.0096473364934175406121 -9.1067117572184292214e-06 -3.5194663038552701158e-06
130000 -0.0096600425079063894501 3.6991806560653200164e-06 2.6298052844972298407e-06
135000 -0.009649042153518269313 -8.1528243983688598618e-06 -5.9663990762825598084e-06
140000 -0.0096611086970163802257 -6.0174579465305298807e-06 -4.1219392498099403672e-06
145000 -0.0096600990185232195329 -1.5592100571622300949e-06 -6.4371681554488802006e-07
150000 -0.0096660036248665207742 4.5322649315442800263e-07 -2.8880918796429799664e-06
155000 -0.0096535331815183304804 4.3857705443704402097e-07 2.407445617882429829e-06
160000 -0.0096539109242938792033 2.071026534284960158e-06 -1.4411576458502900561e-05
165000 -0.0096611535504742794556 -8.9330503460630600679e-07 5.5922467647395895961e-06
170000 -0.0096622115930026196418 -9.7799961682424191707e-07 -3.0415047559613201461e-06
175000 -0.0096617181686745792074 -2.972857524761289944e-06 -1.9367753625076298295e-06
180000 -0.0096614485833726101993 -3.4241353411650301243e-06 -4.5870579155351998873e-06
185000 -0.0096610159345889498606 4.0917159053645497747e-07 3.025378518239899795e-08
190000 -0.0096576261633441098237 2.1486927928591399817e-06 -8.7258275249431998356e-06
195000 -0.0096567592315786304064 -2.4489977314381401804e-06 2.1665243142218000563e-06
200000 -0.0096523691173097600493 -5.1720693070023197497e-06 -6.1655322625282800696e-06
205000 -0.0096659767487609696279 -2.4648291735505201112e-06 -3.3011612415641601038e-06
210000 -0.0096538630617828899427 -2.5398813829158798252e-06 -1.7490092978673300869e-07
215000 -0.0096604033811433093204 1.7419197427575601031e-07 -8.0004940774327896855e-07
220000 -0.009661383707316999192 -4.7609160748062102908e-06 -2.866782863730009848e-06
225000 -0.0096647321388474601023 1.4003456534468800477e-06 -1.8749647604404799602e-07
230000 -0.0096628070345481792414 3.3721645846001598419e-07 -1.6009846309742599894e-06
235000 -0.0096578414280543301712 -5.6219209277849103989e-06 -2.2734845939421998897e-06
240000 -0.0096581472747350807784 -3.2046930548079800689e-06 1.1201222979004599425e-06
245000 -0.0096603695320161900306 -1.1984610877394900693e-06 9.6778467761117500817e-07
250000 -0.0096637720586931104283 -3.1447962923688197896e-06 1.1241324509003301016e-06
255000 -0.0096647978080572991694 -1.9755024744620901975e-06 2.9997831198171398015e-06
260000 -0.0096597502517452599885 1.6269006949695499295e-06 -1.438728087585070024e-06
265000 -0.009656553427459359587 9.5820559506390700545e-07 -3.1233698275191100213e-07
270000 -0.0096674508407899005513 5.8254884610233001062e-06 -3.2843823648730900416e-06
275000 -0.0096607255074251194987 1.8454473074959698949e-06 -2.8742241158988398805e-06
280000 -0.0096608661132401903865 1.3549851208122300227e-06 -2.7768856506008799605e-06
285000 -0.0096653190652959599521 4.0088859895190098647e-06 -3.2571307518082299127e-06
290000 -0.0096634286012361805818 -3.1119761905367298854e-06 1.9587478096579598738e-07
295000 -0.0096617384782930106762 -2.42705240929523002e-06 2.219645127923109852e-06
300000 -0.0096656360914178993116 4.2510294489822496132e-06 3.4095932324958399035e-06
305000 -0.0096645944789832804317 4.2218630244406103312e-06 -3.2844342860140500725e-06
310000 -0.0096590388271357505157 9.3334457784690795524e-07 1.1254084837023999737e-06
315000 -0.0096598559278775406045 -3.8559950344083499224e-06 4.8459726097815597519e-06
320000 -0.0096623203735925304592 3.7554962434026797895e-06 6.8279028294616400305e-06
325000 -0.0096612245346353702036 1.0143015578229499015e-06 4.5150987694655097854e-07
330000 -0.0096600263195938396166 3.5832090412056400428e-06 9.1323237084033503432e-07
335000 -0.0096559153420655591954 -1.8379346770560299253e-07 1.0411525728733000626e-06
340000 -0.0096658090934941508221 -7.8298099304893201361e-06 2.9636353299186301315e-06
345000 -0.0096636164439299794549 -4.2577351541260700067e-06 1.7139825747985099428e-06
350000 -0.0096626506160317898741 6.3913174038600201149e-07 4.3832308556207798923e-06
355000 -0.0096624207153409892579 -4.6635601953008900755e-06 8.76904568648085949e-07
360000 -0.0096629557582828800449 -3.2458702863518300826e-06 1.9808378836759399597e-06
365000 -0.0096629014366218998755 2.6379436615545502088e-07 8.4935206580688403277e-06
370000 -0.0096633911826470506035 -3.7420864112827900728e-06 7.4886064608893000003e-07
375000 -0.0096619501343118505826 5.3763325105032299704e-06 9.5257343736346002413e-07
380000 -0.0096613314001602994263 -2.4189746466113199633e-06 -4.2808188971086904168e-06
385000 -0.009657590669063189151 -2.8112088189444098519e-06 -2.9084998051689498387e-06
390000 -0.009662749755184359482 8.0905916802781404015e-07 3.6219425101445100067e-06
395000 -0.0096627787755034395822 1.9941505965231498266e-06 5.0775320428078501175e-06
400000 -0.0096609368167773195663 -7.0563423271862396869e-07 2.2447108925355001527e-06
405000 -0.0096639759460538394303 5.1434082615008598613e-06 3.1433066608554101641e-06
410000 -0.0096670487457907097045 -1.065210615989640104e-06 3.0759781060038601982e-06
415000 -0.0096653517674467597648 -1.0118449564006000152e-06 6.7620655466893604939e-07
